if_stolen,if_dark_colour,cost_of_bike,if_near_city_center,location_type,if_popular_type,bike_type
0,0,700,1,residential,1,1
0,0,500,1,residential,0,0
0,0,899,1,social,1,1
0,1,500,0,social,1,1
0,0,99,1,social,1,1
0,0,2000,1,residential,1,1
0,1,99,1,social,1,1
0,0,600,1,social,0,0
0,1,750,1,residential,1,1
0,1,500,1,social,1,1
0,0,809,1,social,0,0
0,1,593,1,social,1,1
0,1,700,1,residential,1,1
0,1,580,1,social,1,1
0,1,1100,1,residential,1,1
0,0,400,1,residential,1,1
0,1,1100,1,social,0,0
0,0,200,1,social,1,1
0,0,1030,1,residential,1,1
0,0,600,0,social,0,0
0,0,1000,1,residential,1,1
0,0,760,0,residential,1,1
0,1,2200,1,residential,0,0
0,0,500,1,social,1,1
0,0,420,1,social,1,1
1,1,2850,1,residential,1,1
0,1,4000,1,social,1,1
0,0,473,0,social,1,1
0,1,2800,1,residential,1,1
0,1,400,1,social,1,1
0,0,1000,1,residential,0,0
0,0,221,1,social,1,1
0,0,600,1,residential,1,1
0,1,800,1,residential,1,1
0,0,1000,1,social,1,1
0,0,989,1,social,1,1
0,0,300,0,residential,1,1
0,0,399,1,residential,1,1
0,1,540,1,residential,1,1
0,0,200,1,social,1,1
0,0,2422,1,residential,1,1
0,1,150,1,social,1,1
0,1,800,1,social,1,1
0,1,900,1,social,1,1
0,1,1500,1,social,0,0
0,0,418,1,social,1,1
0,1,725,1,residential,1,1
0,0,600,1,residential,1,1
0,0,489,1,social,1,1
0,0,1150,1,residential,0,0
0,1,650,1,residential,1,1
0,1,254,1,social,1,1
0,1,400,1,social,1,1
0,0,430,1,social,1,1
0,0,4600,1,residential,1,1
0,1,1500,1,social,0,0
0,0,200,1,residential,1,1
0,0,800,1,residential,1,1
0,1,600,1,residential,1,1
0,1,1000,1,social,0,0
0,1,700,1,social,1,1
0,0,200,1,social,0,0
0,1,400,1,social,1,1
0,1,150,1,social,1,1
0,0,700,1,social,1,1
0,1,2000,1,social,1,1
0,0,700,1,residential,1,1
0,1,500,1,residential,1,1
0,1,3500,1,social,1,1
0,0,1000,1,social,1,1
1,0,150,0,residential,1,1
0,0,150,1,residential,1,1
0,1,1000,1,social,0,0
0,1,4500,1,residential,1,1
0,0,900,1,educational,1,1
1,0,1900,1,social,0,0
0,1,300,1,social,0,0
0,1,500,1,social,0,0
0,1,2000,1,social,0,0
0,0,1500,1,residential,1,1
0,1,550,0,residential,1,1
0,1,1200,1,social,0,0
0,1,1000,1,social,1,1
0,1,500,1,residential,0,0
0,0,350,1,social,1,1
0,0,609,1,residential,1,1
0,1,70,1,social,1,1
0,0,600,1,residential,1,1
0,1,1000,1,residential,0,0
0,0,2000,0,residential,0,0
0,1,800,1,social,1,1
0,1,850,1,social,1,1
0,0,800,1,social,0,0
0,1,1500,0,residential,1,1
0,1,1300,1,social,0,0
